ICAO,IATA,Name,Type,Municipality,Country,
RKSG,,A 511 Airport,Medium airport,,South Korea,
OIAA,ABD,Abadan Airport,Medium airport,Abadan,Iran,
OISA,,Abadeh Airport,Small airport,Abadeh,Iran,
UNAA,ABA,Abakan Airport,Medium airport,Abakan,Russia,
OPAB,,Abbottabad Airport,Small airport,Abbottabad,Pakistan,
OYAB,EAB,Abbse Airport,Small airport,Abbse,Yemen,
OICD,,Abdanan Airport,Small airport,Abdanan,Iran,
WARA,MLG,Abdul Rachman Saleh Airport,Small airport,Malang-Java Island,Indonesia,
OEAB,AHB,Abha Regional Airport,Medium airport,Abha,Saudi Arabia,
OEBQ,,Abqaiq Airport,Small airport,,Saudi Arabia,
WASC,RSK,Abresso Airport,Small airport,Ransiki-Papua Island,Indonesia,
OEAA,,Abu Ali Airport,Small airport,,Saudi Arabia,
OMAA,AUH,Abu Dhabi International Airport,Large airport,Abu Dhabi,United Arab Emirates,
OIBA,AEU,Abu Musa Island Airport,Medium airport,Abu Musa,Iran,
VA74,,Abu Road Airport,Small airport,,India,
UNKS,ACS,Achinsk Airport,Medium airport,Achinsk,Russia,
WAHS,SRG,Achmad Yani Airport,Small airport,Semarang-Java Island,Indonesia,
VIAX,AIP,Adampur Airport,Small airport,Adampur,India,
LTAF,ADA,Adana Airport,Large airport,Adana,Turkey,
OYAA,ADE,Aden International Airport,Medium airport,Aden,Yemen,
WARQ,SOC,Adi Sumarmo Wiryokusumo Airport,Small airport,Sukarata(Solo)-Java Island,Indonesia,
WARJ,JOG,Adi Sutjipto International Airport,Small airport,Yogyakarta-Java Island,Indonesia,
LTCP,ADF,Adıyaman Airport,Medium airport,Adıyaman,Turkey,
LTBJ,ADB,Adnan Menderes International Airport,Large airport,İzmir,Turkey,
WIME,AEG,Aek Godang Airport,Medium airport,Padang Sidempuan-Sumatra Island,Indonesia,
LTAH,AFY,Afyon Airport,Medium airport,Afyonkarahisar,Turkey,
VEAT,IXA,Agartala Airport,Medium airport,Agartala,India,
WAKG,,Agats Airport,Small airport,Agats-Papua Island,Indonesia,
VOAT,AGX,Agatti Airport,Medium airport,Agatti,India,
OIAG,AKW,Aghajari Airport,Medium airport,Aghajari,Iran,
VIAG,AGR,Agra Airport,Medium airport,Agra,India,
LTCO,AJI,Ağrı Airport,Medium airport,Ağrı,Turkey,
RORA,AGJ,Aguni Airport,Small airport,Aguni,Japan,
OKAJ,XIJ,Ahmed Al Jaber Air Base,Medium airport,Ahmed Al Jaber AB,Kuwait,
OIAW,AWZ,Ahwaz Airport,Medium airport,Ahwaz,Iran,
UAAT,TDK,Taldykorgan Airport,Medium airport,Taldy Kurgan,Kazakhstan,
RJ01,,Akasaka Press Center Heliport,Heliport,Tokyo,Japan,
VI90,,Akbarpur Airport,Small airport,,India,
RJOE,,Akeno Airport,Small airport,,Japan,
LTBT,,Akhisar Airport,Medium airport,Manisa,Turkey,
WABC,,Akimuga,Small airport,,Indonesia,
RJSK,AXT,Akita Airport,Medium airport,Akita,Japan,
LTAE,,Akıncı Air Base,Medium airport,Ankara,Turkey,
VAAK,AKD,Akola Airport,Medium airport,Akola,India,
UBBA,,Akstafa Airport,Small airport,Akstafa,Azerbaijan,
ZWAK,AKU,Aksu Airport,Medium airport,Aksu,China,
UATE,SCO,Aktau Airport,Medium airport,Aktau,Kazakhstan,
UATT,AKX,Aktobe Airport,Medium airport,Aktyubinsk,Kazakhstan,
Z19M,,Al Abdaliyah Highway Strip,Small airport,Al Abdaliyah,Kuwait,
OEAH,HOF,Al Ahsa Airport,Medium airport,Eastern Province,Saudi Arabia,
OMAL,AAN,Al Ain International Airport,Medium airport,Al Ain,United Arab Emirates,
OE52,,Al Artawiyah South Airport,Small airport,,Saudi Arabia,
ORAA,IQA,Al Asad Air Base,Medium airport,Hīt,Iraq,
OYBA,,Al Badie Airport,Small airport,,Yemen,
OEBA,ABT,Al Baha Airport,Medium airport,Al Bahah Province,Saudi Arabia,
OMAM,DHF,Al Dhafra Air Base,Medium airport,Al Dhafra,United Arab Emirates,
OYGD,AAY,Al Ghaydah Airport,Medium airport,Al Ghaydah,Yemen,
OMAH,,Al Hamra Aux Airport,Small airport,,United Arab Emirates,
OE47,,Al Kharj,Small airport,,Saudi Arabia,
OE51,,Al Kharj East Airport,Small airport,,Saudi Arabia,
OTBK,,Al Khawr Airport,Small airport,Al Khawr,Qatar,
OE46,,Al Lidem Airport,Small airport,,Saudi Arabia,
OMDW,DWC,Al Maktoum International Airport,Large airport,Jebel Ali,United Arab Emirates,
OMDM,NHD,Al Minhad Air Base,Medium airport,Dubai,United Arab Emirates,
ORNI,NJF,Al Najaf International Airport,Small airport,Najaf,Iraq,
OEPA,AQI,Al Qaisumah/Hafr Al Batin Airport,Medium airport,Qaisumah,Saudi Arabia,
ORSH,,Al Sahra Army Air Field,Medium airport,Tikrit,Iraq,
OMRS,,Al Saqr Field,Small airport,,United Arab Emirates,
ORTI,,Al Taji Army Air Field,Medium airport,Taji,Iraq,
ORAT,TQD,Al Taqaddum Air Base,Medium airport,Al Habbaniyah,Iraq,
OTBH,XJD,Al Udeid Air Base,Medium airport,Ar Rayyan,Qatar,
OEWJ,EJH,Al Wajh Domestic Airport,Medium airport,Al Wajh,Saudi Arabia,
OYBI,BYD,Al-Bayda Airport,Small airport,Al-Bayda,Yemen,
OYBQ,BUK,Al-Bough Airport,Small airport,Al-Bough,Yemen,
OYZM,,Al-Hazm Airport,Small airport,Al-Hazm,Yemen,
OESK,AJF,Al-Jawf Domestic Airport,Medium airport,Al-Jawf,Saudi Arabia,
RPLY,,Alabat Island Airport,Small airport,Alabat Island,Philippines,
OPLA,LHE,Alama Iqbal International Airport,Medium airport,Lahore,Pakistan,
LTBC,,Alaşehir Airport,Small airport,Alaşehir,Turkey,
ZWBL,BPL,Alashankou Bole (Bortala) airport,Medium airport,Bole,China,
UEEA,ADH,Aldan Airport,Small airport,Aldan,Russia,
