EKYT,AAL,Aalborg Airport,Large airport,Aalborg,Denmark,
EGPD,ABZ,Aberdeen Dyce Airport,Large airport,Aberdeen,United Kingdom,
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Large airport,Madrid,Spain,
LEAL,ALC,Alicante International Airport,Large airport,Alicante,Spain,
EHAM,AMS,Amsterdam Airport Schiphol,Large airport,Amsterdam,The Netherlands,
LFOA,,Avord (BA 702) Air Base,Large airport,Avord,France,
LEBL,BCN,Barcelona–El Prat Airport,Large airport,Barcelona,Spain,
LIBD,BRI,Bari Karol Wojtyła Airport,Large airport,Bari,Italy,
EGAA,BFS,Belfast International Airport,Large airport,Belfast,United Kingdom,
LYBE,BEG,Belgrade Nikola Tesla Airport,Large airport,Belgrade,Serbia,
ENBR,BGO,Bergen Airport Flesland,Large airport,Bergen,Norway,
EDDB,SXF,Berlin-Schönefeld Airport,Large airport,Berlin,Germany,
EDDT,TXL,Berlin-Tegel Airport,Large airport,Berlin,Germany,
EKBI,BLL,Billund Airport,Large airport,Billund,Denmark,
EGBB,BHX,Birmingham International Airport,Large airport,Birmingham,United Kingdom,
ENBO,BOO,Bodø Airport,Large airport,Bodø,Norway,
LIPE,BLQ,Bologna Guglielmo Marconi Airport,Large airport,Bologna,Italy,
LFBD,BOD,Bordeaux-Mérignac Airport,Large airport,Bordeaux,France,
UWKG,,Borisoglebskoye Airport,Large airport,Kazan,Russia,
UKBB,KBP,Boryspil International Airport,Large airport,Kiev,Ukraine,
EGHH,BOH,Bournemouth Airport,Large airport,Bournemouth,United Kingdom,
EDDW,BRE,Bremen Airport,Large airport,Bremen,Germany,
EGGD,BRS,Bristol Airport,Large airport,Bristol,United Kingdom,
EBBR,BRU,Brussels Airport,Large airport,Brussels,Belgium,
EBCI,CRL,Brussels South Charleroi Airport,Large airport,Brussels,Belgium,
LHBP,BUD,Budapest Liszt Ferenc International Airport,Large airport,Budapest,Hungary,
LBBG,BOJ,Burgas Airport,Large airport,Burgas,Bulgaria,
LIEE,CAG,Cagliari Elmas Airport,Large airport,Cagliari,Italy,
EGFF,CWL,Cardiff International Airport,Large airport,Cardiff,United Kingdom,
LICC,CTA,Catania-Fontanarossa Airport,Large airport,Catania,Italy,
LFPG,CDG,Paris-Charles de Gaulle Airport,Large airport,Paris,France,
LIRA,CIA,"Rome–Ciampino International Airport ""G. B. Pastine""",Large airport,Rome,Italy,
EDDK,CGN,Cologne Bonn Airport,Large airport,Cologne,Germany,
EKCH,CPH,Copenhagen Kastrup Airport,Large airport,Copenhagen,Denmark,
EPWR,WRO,Copernicus Airport Wrocław,Large airport,Wrocław,Poland,
EICK,ORK,Cork Airport,Large airport,Cork,Ireland,
UUDD,DME,Domodedovo International Airport,Large airport,Moscow,Russia,
EDLW,DTM,Dortmund Airport,Large airport,Dortmund,Germany,
EDDC,DRS,Dresden Airport,Large airport,Dresden,Germany,
EIDW,DUB,Dublin Airport,Large airport,Dublin,Ireland,
EDDL,DUS,Düsseldorf Airport,Large airport,Düsseldorf,Germany,
EGNX,EMA,East Midlands Airport,Large airport,Nottingham,United Kingdom,
EGPH,EDI,Edinburgh Airport,Large airport,Edinburgh,United Kingdom,
EHEH,EIN,Eindhoven Airport,Large airport,Eindhoven,The Netherlands,
LGAV,ATH,"Athens International Airport ""Eleftherios Venizelos""",Large airport,Athens,Greece,
LFSB,BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,Large airport,Bâle/Mulhouse,France,
EGTE,EXT,Exeter International Airport,Large airport,Exeter,United Kingdom,
LICJ,PMO,Falcone–Borsellino Airport,Large airport,Palermo,Italy,
LPFR,FAO,Faro Airport,Large airport,Faro,Portugal,
LPPR,OPO,Francisco de Sá Carneiro Airport,Large airport,Porto,Portugal,
EDDF,FRA,Frankfurt am Main Airport,Large airport,Frankfurt am Main,Germany,
EPGD,GDN,Gdańsk Lech Wałęsa Airport,Large airport,Gdańsk,Poland,
LSGG,GVA,Geneva Airport,Large airport,Geneva,Switzerland,
LIMJ,GOA,Genoa Cristoforo Colombo Airport,Large airport,Genova,Italy,
EGAC,BHD,George Best Belfast City Airport,Large airport,Belfast,United Kingdom,
EGPF,GLA,Glasgow International Airport,Large airport,Glasgow,United Kingdom,
ESGG,GOT,Gothenburg-Landvetter Airport,Large airport,Gothenburg,Sweden,
GCLP,LPA,Gran Canaria Airport,Large airport,Gran Canaria Island,Spain,
URMG,GRV,Grozny North Airport,Large airport,Grozny,Russia,
