ICAO,IATA,Name,Type,Municipality,Country
KSPI,SPI,Abraham Lincoln Capital Airport,Large airport,Springfield,United States
KABQ,ABQ,Albuquerque International Sunport,Large airport,Albuquerque,United States
KLTS,LTS,Altus Air Force Base,Large airport,Altus,United States
KAVL,AVL,Asheville Regional Airport,Large airport,Asheville,United States
KAGS,AGS,Augusta Regional At Bush Field,Large airport,Augusta,United States
KAUS,AUS,Austin Bergstrom International Airport,Large airport,Austin,United States
KGRB,GRB,Austin Straubel International Airport,Large airport,Green Bay,United States
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,Large airport,Baltimore,United States
KBGR,BGR,Bangor International Airport,Large airport,Bangor,United States
KBAD,BAD,Barksdale Air Force Base,Large airport,Bossier City,United States
KBAB,BAB,Beale Air Force Base,Large airport,Marysville,United States
KLIT,LIT,Bill & Hillary Clinton National Airport/Adams Field,Large airport,Little Rock,United States
KBIL,BIL,Billings Logan International Airport,Large airport,Billings,United States
KBHM,BHM,Birmingham-Shuttlesworth International Airport,Large airport,Birmingham,United States
KLEX,LEX,Blue Grass Airport,Large airport,Lexington,United States
KBFI,BFI,Boeing Field King County International Airport,Large airport,Seattle,United States
KBOI,BOI,Boise Air Terminal/Gowen Field,Large airport,Boise,United States
KBDL,BDL,Bradley International Airport,Large airport,Hartford,United States
KBUF,BUF,Buffalo Niagara International Airport,Large airport,Buffalo,United States
CYYC,YYC,Calgary International Airport,Large airport,Calgary,Canada
MMUN,CUN,Cancún International Airport,Large airport,Cancún,Mexico
KCVS,CVS,Cannon Air Force Base,Large airport,Clovis,United States
KBMI,BMI,Central Illinois Regional Airport at Bloomington-Normal,Large airport,Bloomington/Normal,United States
KCHS,CHS,Charleston Air Force Base-International Airport,Large airport,Charleston,United States
KCLT,CLT,Charlotte Douglas International Airport,Large airport,Charlotte,United States
KMDW,MDW,Chicago Midway International Airport,Large airport,Chicago,United States
KORD,ORD,Chicago O'Hare International Airport,Large airport,Chicago,United States
KRFD,RFD,Chicago Rockford International Airport,Large airport,Chicago/Rockford,United States
KCVG,CVG,Cincinnati/Northern Kentucky International Airport,Large airport,Cincinnati,United States
KCOS,COS,City of Colorado Springs Municipal Airport,Large airport,Colorado Springs,United States
KCLE,CLE,Cleveland Hopkins International Airport,Large airport,Cleveland,United States
KCAE,CAE,Columbia Metropolitan Airport,Large airport,Columbia,United States
KCBM,CBM,Columbus Air Force Base,Large airport,Columbus,United States
KCRP,CRP,Corpus Christi International Airport,Large airport,Corpus Christi,United States
KDFW,DFW,Dallas Fort Worth International Airport,Large airport,Dallas-Fort Worth,United States
KDAL,DAL,Dallas Love Field Airport,Large airport,Dallas,United States
KMSN,MSN,Dane County Regional Truax Field,Large airport,Madison,United States
PHNL,HNL,Daniel K. Inouye International Airport,Large airport,Honolulu,United States
MRLB,LIR,Daniel Oduber Quiros International Airport,Large airport,Liberia,Costa Rica
KDAB,DAB,Daytona Beach International Airport,Large airport,Daytona Beach,United States
KDEN,DEN,Denver International Airport,Large airport,Denver,United States
KDSM,DSM,Des Moines International Airport,Large airport,Des Moines,United States
KVPS,VPS,Destin-Ft Walton Beach Airport,Large airport,Valparaiso,United States
KDTW,DTW,Detroit Metropolitan Airport,Large airport,Detroit,United States
KDLF,DLF,DLF Airport,Large airport,Del Rio,United States
KMGE,MGE,Dobbins Air Reserve Base,Large airport,Marietta,United States
MMGL,GDL,Don Miguel Hidalgo Y Costilla International Airport,Large airport,Guadalajara,Mexico
KDOV,DOV,Dover Air Force Base,Large airport,Dover,United States
KDBQ,DBQ,Dubuque Regional Airport,Large airport,Dubuque,United States
KDLH,DLH,Duluth International Airport,Large airport,Duluth,United States
KDYS,DYS,Dyess Air Force Base,Large airport,Abilene,United States
CYEG,YEG,Edmonton International Airport,Large airport,Edmonton,Canada
KEDW,EDW,Edwards Air Force Base,Large airport,Edwards,United States
KOMA,OMA,Eppley Airfield,Large airport,Omaha,United States
KERI,ERI,Erie International Tom Ridge Field,Large airport,Erie,United States
PAFA,FAI,Fairbanks International Airport,Large airport,Fairbanks,United States
KSKA,SKA,Fairchild Air Force Base,Large airport,Spokane,United States
KFLL,FLL,Fort Lauderdale Hollywood International Airport,Large airport,Fort Lauderdale,United States
KFSM,FSM,Fort Smith Regional Airport,Large airport,Fort Smith,United States
KFWA,FWA,Fort Wayne International Airport,Large airport,Fort Wayne,United States
KAFW,AFW,Fort Worth Alliance Airport,Large airport,Fort Worth,United States
KFTW,FTW,Fort Worth Meacham International Airport,Large airport,Fort Worth,United States
MMTJ,TIJ,General Abelardo L. Rodríguez International Airport,Large airport,Tijuana,Mexico
KBOS,BOS,Logan International Airport,Large airport,Boston,United States
MMHO,HMO,General Ignacio P. Garcia International Airport,Large airport,Hermosillo,Mexico
MMAA,ACA,General Juan N Alvarez International Airport,Large airport,Acapulco,Mexico
MMMY,MTY,General Mariano Escobedo International Airport,Large airport,Monterrey,Mexico
KMKE,MKE,General Mitchell International Airport,Large airport,Milwaukee,United States
KPIA,PIA,General Wayne A. Downing Peoria International Airport,Large airport,Peoria,United States
KIAH,IAH,George Bush Intercontinental Airport,Large airport,Houston,United States
KROC,ROC,Greater Rochester International Airport,Large airport,Rochester,United States
KGSP,GSP,Greenville Spartanburg International Airport,Large airport,Greenville,United States
KGUS,GUS,Grissom Air Reserve Base,Large airport,Peru,United States
KGPT,GPT,Gulfport Biloxi International Airport,Large airport,Gulfport,United States
CYHZ,YHZ,Halifax / Stanfield International Airport,Large airport,Halifax,Canada
KATL,ATL,Hartsfield-Jackson Atlanta International Airport,Large airport,Atlanta,United States
KHMN,HMN,Holloman Air Force Base,Large airport,Alamogordo,United States
KHSV,HSV,Huntsville International Carl T Jones Field,Large airport,Huntsville,United States
KIND,IND,Indianapolis International Airport,Large airport,Indianapolis,United States
KJAN,JAN,Jackson-Medgar Wiley Evers International Airport,Large airport,Jackson,United States
KJAX,JAX,Jacksonville International Airport,Large airport,Jacksonville,United States
KDAY,DAY,James M Cox Dayton International Airport,Large airport,Dayton,United States
KJFK,JFK,John F. Kennedy International Airport,Large airport,New York,United States
KCMH,CMH,John Glenn Columbus International Airport,Large airport,Columbus,United States
KSNA,SNA,John Wayne Airport-Orange County Airport,Large airport,Santa Ana,United States
KADW,ADW,Andrews Air Force Base,Large airport,Camp Springs,United States
KJLN,JLN,Joplin Regional Airport,Large airport,Joplin,United States
MUHA,HAV,José Martí International Airport,Large airport,Havana,Cuba
MUVR,VRA,Juan Gualberto Gomez International Airport,Large airport,Varadero,Cuba
KMCI,MCI,Kansas City International Airport,Large airport,Kansas City,United States
MGGT,GUA,La Aurora Airport,Large airport,Guatemala City,Guatemala
KLGA,LGA,La Guardia Airport,Large airport,New York,United States
KLFT,LFT,Lafayette Regional Airport,Large airport,Lafayette,United States
KLFI,LFI,Langley Air Force Base,Large airport,Hampton,United States
MDSD,SDQ,Las Américas International Airport,Large airport,Santo Domingo,Dominican Republic
CYYZ,YYZ,Toronto Pearson International Airport,Large airport,Toronto,Canada
MMMX,MEX,Mexico City International Airport,Large airport,Mexico City,Mexico
MMPR,PVR,Licenciado Gustavo Díaz Ordaz International Airport,Large airport,Puerto Vallarta,Mexico
KLAX,LAX,Los Angeles International Airport,Large airport,Los Angeles,United States
MMSD,SJD,Los Cabos International Airport,Large airport,San José del Cabo,Mexico
KMSY,MSY,Louis Armstrong New Orleans International Airport,Large airport,New Orleans,United States
KSDF,SDF,Louisville International Airport,Large airport,Louisville,United States
KCHA,CHA,Lovell Field,Large airport,Chattanooga,United States
KLBB,LBB,Lubbock Preston Smith International Airport,Large airport,Lubbock,United States
TJSJ,SJU,Luis Munoz Marin International Airport,Large airport,San Juan,Puerto Rico
KLUF,LUF,Luke Air Force Base,Large airport,Glendale,United States
MYNN,NAS,Lynden Pindling International Airport,Large airport,Nassau,Bahamas
KMCF,MCF,Mac Dill Air Force Base,Large airport,Tampa,United States
KMHT,MHT,Manchester-Boston Regional Airport,Large airport,Manchester,United States
KMBS,MBS,MBS International Airport,Large airport,Saginaw,United States
KLAS,LAS,McCarran International Airport,Large airport,Las Vegas,United States
KTCM,TCM,McChord Air Force Base,Large airport,Tacoma,United States
KTYS,TYS,McGhee Tyson Airport,Large airport,Knoxville,United States
KMEM,MEM,Memphis International Airport,Large airport,Memphis,United States
KOAK,OAK,Metropolitan Oakland International Airport,Large airport,Oakland,United States
KMIA,MIA,Miami International Airport,Large airport,Miami,United States
KMSP,MSP,Minneapolis–Saint Paul International Airport,Large airport,Minneapolis,United States
KMOB,MOB,Mobile Regional Airport,Large airport,Mobile,United States
KMLU,MLU,Monroe Regional Airport,Large airport,Monroe,United States
MSLP,SAL,Monseñor Óscar Arnulfo Romero International Airport,Large airport,San Salvador (San Luis Talpa),El Salvador
KMGM,MGM,Montgomery Regional (Dannelly Field) Airport,Large airport,Montgomery,United States
CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,Large airport,Montréal,Canada
KMUO,MUO,Mountain Home Air Force Base,Large airport,Mountain Home,United States
KBNA,BNA,Nashville International Airport,Large airport,Nashville,United States
KEWR,EWR,Newark Liberty International Airport,Large airport,Newark,United States
KPHF,PHF,Newport News Williamsburg International Airport,Large airport,Newport News,United States
KORF,ORF,Norfolk International Airport,Large airport,Norfolk,United States
