ICAO,IATA,Name,Type,Municipality,Country
YPAD,ADL,Adelaide International Airport,Large airport,Adelaide,Australia
PGUM,GUM,Antonio B. Won Pat International Airport,Large airport,Hagåtña,Guam
NZAA,AKL,Auckland International Airport,Large airport,Auckland,New Zealand
YBBN,BNE,Brisbane International Airport,Large airport,Brisbane,Australia
YSCB,CBR,Canberra International Airport,Large airport,Canberra,Australia
NZCH,CHC,Christchurch International Airport,Large airport,Christchurch,New Zealand
NTAA,PPT,Faa'a International Airport,Large airport,Papeete,French Polynesia
YMML,MEL,Melbourne International Airport,Large airport,Melbourne,Australia
YPPH,PER,Perth International Airport,Large airport,Perth,Australia
AYPY,POM,Port Moresby Jacksons International Airport,Large airport,Port Moresby,Papua New Guinea
NCRG,RAR,Rarotonga International Airport,Large airport,Avarua,Cook Islands
YSSY,SYD,Sydney Airport,Large airport,Sydney,Australia
NZWN,WLG,Wellington International Airport,Large airport,Wellington,New Zealand
NTHE,AHE,Ahe Airport,Medium airport,Ahe Atoll,French Polynesia
YABA,ALH,Albany Airport,Medium airport,Albany,Australia
YMAY,ABX,Albury Airport,Medium airport,Albury,Australia
NZLX,ALR,Alexandra Airport,Medium airport,Alexandra,New Zealand
YBAS,ASP,Alice Springs Airport,Medium airport,Alice Springs,Australia
YAPH,ABH,Alpha Airport,Medium airport,Alpha,Australia
NTGA,AAA,Anaa Airport,Medium airport,Tuamotu archipelago,French Polynesia
PGUA,UAM,Andersen Air Force Base,Medium airport,Yigo Mariana Island,Guam
YARA,ARY,Ararat Airport,Medium airport,Ararat,Australia
NZAR,AMZ,Ardmore Airport,Medium airport,Manurewa,New Zealand
YARM,ARM,Armidale Airport,Medium airport,Armidale,Australia
NTGU,AXR,Arutua Airport,Medium airport,Arutua,French Polynesia
YMAV,AVV,Avalon Airport,Medium airport,Melbourne,Australia
YAYE,AYQ,Ayers Rock Connellan Airport,Medium airport,Ayers Rock,Australia
PTRO,ROR,Babelthuap Airport,Medium airport,Babelthuap Island,Palau
AYBA,VMU,Baimuru Airport,Medium airport,Baimuru,Papua New Guinea
YBNS,BSJ,Bairnsdale Airport,Medium airport,Victoria,Australia
AYBM,OPU,Balimo Airport,Medium airport,Balimo,Papua New Guinea
YBNA,BNK,Ballina Byron Gateway Airport,Medium airport,Ballina,Australia
YBRN,BZD,Balranald Airport,Medium airport,Balranald,Australia
YBAR,BCI,Barcaldine Airport,Medium airport,Barcaldine,Australia
YBTH,BHS,Bathurst Airport,Medium airport,Bathurst,Australia
YBTI,BRT,Bathurst Island Airport,Medium airport,Wurrumiyanga,Australia
NVVV,VLI,Bauerfield International Airport,Medium airport,Port Vila,Vanuatu
YBIE,BEU,Bedourie Airport,Medium airport,Queensland,Australia
YBLA,BLN,Benalla Airport,Medium airport,Benalla,Australia
YBDV,BVI,Birdsville Airport,Medium airport,Shire of Diamantina,Australia
YBCK,BKQ,Blackall Airport,Medium airport,Blackall,Australia
YBTR,BLT,Blackwater Airport,Medium airport,Queensland,Australia
NGTA,TRW,Bonriki International Airport,Medium airport,Tarawa,Kiribati
NTTB,BOB,Bora Bora Airport,Medium airport,Motu Mute,French Polynesia
YBOU,BQL,Boulia Airport,Medium airport,Queensland,Australia
YBKE,BRK,Bourke Airport,Medium airport,New South Wales,Australia
YBRW,BWQ,Brewarrina Airport,Medium airport,Brewarrina,Australia
YBHI,BHQ,Broken Hill Airport,Medium airport,Broken Hill,Australia
YBRM,BME,Broome International Airport,Medium airport,Broome,Australia
PKWA,KWA,Bucholz Army Air Field,Medium airport,Kwajalein,Marshall Islands
AYBK,BUA,Buka Airport,Medium airport,Buka Island,Papua New Guinea
YBUD,BDB,Bundaberg Airport,Medium airport,Bundaberg,Australia
YBCS,CNS,Cairns International Airport,Medium airport,Cairns,Australia
YSCN,CDU,Camden Airport,Medium airport,Sydney,Australia
PCIS,CIS,Canton Island Airport,Medium airport,Abariringa,Kiribati
YCAR,CVQ,Carnarvon Airport,Medium airport,Carnarvon,Australia
PLCH,CXI,Cassidy International Airport,Medium airport,Banana,Kiribati
YCDU,CED,Ceduna Airport,Medium airport,Flinders,Australia
YBCV,CTL,Charleville Airport,Medium airport,Charleville,Australia
NZCI,CHT,Chatham Islands-Tuuta Airport,Medium airport,Waitangi,New Zealand
AYCH,CMU,Chimbu Airport,Medium airport,Kundiawa,Papua New Guinea
YCCA,CCL,Chinchilla Airport,Medium airport,Chinchilla,Australia
NGAB,ABF,Abaiang Airport,Small airport,Abaiang,Kiribati
NGTB,AEA,Abemama Atoll Airport,Small airport,Abemama Atoll,Kiribati
YABI,ABG,Abingdon Downs Airport,Small airport,,Australia
YNTI,,Abrolhos North Island,Small airport,,Australia
YRAT,,Abrolhos Rat Island,Small airport,,Australia
YACS,,Acacia Downs Airport,Small airport,,Australia
YADY,,Adaminaby Airport,Small airport,,Australia
YADI,,Adaminaby Airport,Small airport,,Australia
YPPF,,Adelaide Parafield Airport,Small airport,Adelaide,Australia
YALG,,Adels Grove Airport,Small airport,,Australia
AYAF,AFR,Afore Airstrip,Small airport,,Papua New Guinea
AGAF,AFT,Afutara Aerodrome,Small airport,Bila,Solomon Islands
AYAL,,Agali Airstrip,Small airport,,Papua New Guinea
AYAG,AUP,Agaun Airport,Small airport,,Papua New Guinea
YAWT,,Agnes Water Airport,Small airport,Agnes Water,Australia
