ICAO,IATA,Name,Type,Municipality,Country
SBCT,CWB,Afonso Pena Airport,Large airport,Curitiba,Brazil
SPZO,CUZ,Alejandro Velasco Astete International Airport,Large airport,Cusco,Peru
SUMU,MVD,Carrasco International /General C L Berisso Airport,Large airport,Montevideo,Uruguay
SCEL,SCL,Comodoro Arturo Merino Benítez International Airport,Large airport,Santiago,Chile
SBSP,CGH,São Paulo–Congonhas Airport,Large airport,São Paulo,Brazil
SELT,LTX,Cotopaxi International Airport,Large airport,Latacunga,Ecuador
SBSV,SSA,Deputado Luiz Eduardo Magalhães International Airport,Large airport,Salvador,Brazil
SKBO,BOG,El Dorado International Airport,Large airport,Bogota,Colombia
SVBC,BLA,General José Antonio Anzoategui International Airport,Large airport,Barcelona,Venezuela
SBSG,NAT,Governador Aluízio Alves International Airport,Large airport,Natal,Brazil
SBFL,FLN,Hercílio Luz International Airport,Large airport,Florianópolis,Brazil
SPJC,LIM,Jorge Chávez International Airport,Large airport,Lima,Peru
SEQM,UIO,Mariscal Sucre International Airport,Large airport,Quito,Ecuador
SAEZ,EZE,Ministro Pistarini International Airport,Large airport,Buenos Aires,Argentina
SBBR,BSB,Brasília International Airport,Large airport,Brasília,Brazil
SBGL,GIG,Galeão International Airport,Large airport,Rio De Janeiro,Brazil
SVMI,CCS,Simón Bolívar International Airport,Large airport,Caracas,Venezuela
SBCF,CNF,Tancredo Neves International Airport,Large airport,Belo Horizonte,Brazil
SBBE,BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Large airport,Belém,Brazil
SLVR,VVI,Viru Viru International Airport,Large airport,Santa Cruz,Bolivia
SVCB,CBL,Tomas de Heres Airport,Medium airport,Ciudad Bolívar,Venezuela
SKOC,OCV,Aguas Claras Airport,Medium airport,Ocaña,Colombia
SBMQ,MCP,Alberto Alcolumbre Airport,Medium airport,Macapá,Brazil
SVMD,MRD,Alberto Carnevalli Airport,Medium airport,Mérida,Venezuela
SPNC,HUU,Alferez Fap David Figueroa Fernandini Airport,Medium airport,Huánuco,Peru
SKCL,CLO,Alfonso Bonilla Aragon International Airport,Medium airport,Cali,Colombia
SKVP,VUP,Alfonso López Pumarejo Airport,Medium airport,Valledupar,Colombia
SKLT,LET,Alfredo Vásquez Cobo International Airport,Medium airport,Leticia,Colombia
SAVT,REL,Almirante Marco Andres Zar Airport,Medium airport,Rawson,Argentina
SKRH,RCH,Almirante Padilla Airport,Medium airport,Riohacha,Colombia
SBHT,ATM,Altamira Airport,Medium airport,Altamira,Brazil
SVAN,AAO,Anaco Airport,Medium airport,Anaco,Venezuela
SCFA,ANF,Andrés Sabella Gálvez International Airport,Medium airport,Antofagasta,Chile
SUAA,,Angel S Adami Airport,Medium airport,Montevideo,Uruguay
SKPS,PSO,Antonio Narino Airport,Medium airport,Pasto,Colombia
SKLC,APO,Antonio Roldan Betancourt Airport,Medium airport,Carepa,Colombia
SBAU,ARU,Araçatuba Airport,Medium airport,Araçatuba,Brazil
SWGN,AUX,Araguaína Airport,Medium airport,Araguaína,Brazil
SBAQ,AQA,Araraquara Airport,Medium airport,Araraquara,Brazil
SAOC,RCU,Area De Material Airport,Medium airport,Rio Cuarto,Argentina
SVVA,VLN,Arturo Michelena International Airport,Medium airport,Valencia,Venezuela
SAZM,MDQ,Ástor Piazzola International Airport,Medium airport,Mar del Plata,Argentina
SBBV,BVB,Atlas Brasil Cantanhede Airport,Medium airport,Boa Vista,Brazil
SBNT,,Augusto Severo Airport,Medium airport,Natal,Brazil
SAZY,CPC,Aviador C. Campos Airport,Medium airport,Chapelco/San Martin de los Andes,Argentina
SBBI,BFH,Bacacheri Airport,Medium airport,Curitiba,Brazil
SBIL,IOS,Bahia - Jorge Amado Airport,Medium airport,Ilhéus,Brazil
SCBA,BBA,Balmaceda Airport,Medium airport,Balmaceda,Chile
SKMG,MGN,Baracoa Airport,Medium airport,Magangué,Colombia
SVBI,BNS,Barinas Airport,Medium airport,Barinas,Venezuela
SVBM,BRM,Barquisimeto International Airport,Medium airport,Barquisimeto,Venezuela
SBBW,BPG,Barra do Garças Airport,Medium airport,Barra Do Garças,Brazil
SCBE,TOQ,Barriles Airport,Medium airport,Tocopilla,Chile
SBCP,CAW,Bartolomeu Lisandro Airport,Medium airport,Campos Dos Goytacazes,Brazil
SBAN,,Base Aérea Airport,Medium airport,Anápolis,Brazil
SBST,SSZ,Base Aérea de Santos Airport,Medium airport,Guarujá,Brazil
SBTA,QHP,Base de Aviação de Taubaté Airport,Medium airport,Taubaté,Brazil
SBAE,JTC,Bauru - Arealva Airport,Medium airport,Bauru,Brazil
SBBU,BAU,Bauru Airport,Medium airport,Bauru,Brazil
SKNV,NVA,Benito Salas Airport,Medium airport,Neiva,Colombia
SLBJ,BJO,Bermejo Airport,Medium airport,Bermejo,Bolivia
SBLP,LAZ,Bom Jesus da Lapa Airport,Medium airport,Bom Jesus Da Lapa,Brazil
SBCI,CLN,Brig. Lysias Augusto Rodrigues Airport,Medium airport,Carolina,Brazil
SBVH,BVH,Brigadeiro Camarão Airport,Medium airport,Vilhena,Brazil
SBPJ,PMW,Brigadeiro Lysias Rodrigues Airport,Medium airport,Palmas,Brazil
SAVE,EQS,Brigadier Antonio Parodi Airport,Medium airport,Esquel,Argentina
SAOU,LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,Medium airport,San Luis,Argentina
SPBC,,Caballococha Airport,Medium airport,Caballococha,Peru
SBCC,,Cachimbo Airport,Medium airport,Novo Progresso,Brazil
SVPA,PYH,Cacique Aramare Airport,Medium airport,Puerto Ayacucho,Venezuela
SPST,TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,Medium airport,Tarapoto,Peru
SVCD,CXA,Caicara del Orinoco Airport,Medium airport,Caicara del Orinoco,Venezuela
SVCL,CLZ,Calabozo Airport,Medium airport,Guarico,Venezuela
SKCC,CUC,Camilo Daza International Airport,Medium airport,Cúcuta,Colombia
SBMT,,Campo de Marte Airport,Medium airport,São Paulo,Brazil
SBAF,,Campo Délio Jardim de Mattos Airport,Medium airport,Rio De Janeiro,Brazil
SBYS,QPS,Campo Fontenelle Airport,Medium airport,Pirassununga,Brazil
SBCG,CGR,Campo Grande Airport,Medium airport,Campo Grande,Brazil
SVCN,CAJ,Canaima Airport,Medium airport,Canaima,Venezuela
SCJO,ZOS,Cañal Bajo Carlos - Hott Siebert Airport,Medium airport,Osorno,Chile
SBCO,,Canoas Air Force Base,Medium airport,Porto Alegre,Brazil
SPCL,PCL,Cap FAP David Abenzur Rengifo International Airport,Medium airport,Pucallpa,Peru
SLCO,CIJ,Capitán Aníbal Arab Airport,Medium airport,Cobija,Bolivia
SLPS,PSZ,Capitán Av. Salvador Ogaya G. airport,Medium airport,Puerto Suárez,Bolivia
SULS,PDP,Capitan Corbeta CA Curbelo International Airport,Medium airport,Punta del Este,Uruguay
SAWJ,ULA,Capitan D Daniel Vazquez Airport,Medium airport,San Julian,Argentina
SPUR,PIU,Capitán FAP Guillermo Concha Iberico International Airport,Medium airport,Piura,Peru
SPHI,CIX,Capitan FAP Jose A Quinones Gonzales International Airport,Medium airport,Chiclayo,Peru
SPME,TBP,Capitan FAP Pedro Canga Rodriguez Airport,Medium airport,Tumbes,Peru
SPSO,PIO,Capitán FAP Renán Elías Olivera International Airport,Medium airport,Pisco,Peru
